ABB | ROE | Source=34.9 | Engine=25.19
ADANIENT | ROE | Source=13.64 | Engine=6.56
ADANIGREEN | ROE | Source=14.7 | Engine=1.43
ADANIPOWER | ROE | Source=57.1 | Engine=-36.21
AXISBANK | ROE | Source=18.4 | Engine=9.99
BAJAJFINSV | ROE | Source=11.72 | Engine=22.58
BANKBARODA | ROE | Source=16.7 | Engine=5.82
BEL | ROE | Source=26.3 | Engine=7893.89
BHARTIARTL | ROE | Source=14.9 | Engine=1.86
BPCL | ROE | Source=41.9 | Engine=22.33
BRITANNIA | ROE | Source=57.1 | Engine=45.26
CANBK | ROE | Source=17.9 | Engine=4.79
COALINDIA | ROE | Source=52.0 | Engine=42.46
DABUR | ROE | Source=19.2 | Engine=25.91
DIVISLAB | ROE | Source=12.2 | Engine=20.52
DRREDDY | ROE | Source=21.4 | Engine=16.34
GODREJCP | ROE | Source=6.77 | Engine=19.4
GRASIM | ROE | Source=6.9 | Engine=11.98
HAL | ROE | Source=28.9 | Engine=2406.31
HDFCLIFE | ROE | Source=11.4 | Engine=21.85
HEROMOTOCO | ROE | Source=22.0 | Engine=27.07
HINDUNILVR | ROE | Source=20.2 | Engine=65.86
ICICIBANK | ROE | Source=18.8 | Engine=12.68
ICICIPRULI | ROE | Source=8.07 | Engine=21.07
INFY | ROE | Source=31.8 | Engine=25.52
IOC | ROE | Source=25.44 | Engine=13.4
IRCTC | ROE | Source=40.4 | Engine=30.76
JINDALSTEL | ROE | Source=14.1 | Engine=3.28
LICI | ROE | Source=63.61 | Engine=133.61
LODHA | ROE | Source=10.7 | Engine=18.67
LT | ROE | Source=10.49 | Engine=198.9
LTIM | ROE | Source=26.04 | Engine=33.63
MOTHERSON | ROE | Source=11.8 | Engine=21.09
NAUKRI | ROE | Source=2.44 | Engine=13.7
NESTLEIND | ROE | Source=135.61 | Engine=72.54
PNB | ROE | Source=8.7 | Engine=95.26
SBILIFE | ROE | Source=12.0 | Engine=17.01
TATAMOTORS | ROE | Source=49.4 | Engine=3.11
TCS | ROE | Source=0.52 | Engine=38.59
TECHM | ROE | Source=8.63 | Engine=20.1
TITAN | ROE | Source=32.9 | Engine=24.71
TRENT | ROE | Source=27.2 | Engine=6.25
